product success mcic calc_mcic percent game_percent offer puo cop co co1 co2 mid fo
ore 1 41 40 5.3 5 43282 24.975 1.208 52219 52200 47763 1 1
org 1 31 30 5.3 5 86183 49.73 1.154 99325 99300 90264 0 1
equ 1 21 20 5.3 5 155242 89.579 1.102 170812 170000 159929 0 1
ore 1 41 40 6.7 6 54997 25.112 1.208 66353 66300 61791 2 1
org 1 31 30 6.7 6 109369 49.94 1.154 126047 126000 117691 1 1
equ 1 21 20 6.7 6 196747 89.838 1.102 216480 216000 202755 0 1
ore 1 41 40 7.4 7 60914 25.181 1.208 73492 73400 68421 2 1
org 1 31 30 7.4 7 121060 50.045 1.154 139521 139000 126733 0 1
equ 1 21 20 7.4 7 217633 89.968 1.102 239461 239000 224285 0 1
ore 1 41 40 8.8 8 72844 25.319 1.208 87886 87800 80367 1 1
org 1 31 30 8.8 8 144586 50.255 1.154 166635 166000 155379 1 1
equ 1 21 20 8.8 8 259584 90.227 1.102 285620 285000 267510 0 1
ore 1 41 40 9.6 9 79725 25.398 1.208 96188 96100 84910 0 1
org 1 31 30 9.6 9 158131 50.376 1.154 182245 182000 172464 2 1
equ 1 21 20 9.6 9 283689 90.375 1.102 312143 312000 300661 2 1
ore 1 41 40 10.5 10 87495 25.486 1.208 105562 105000 98065 2 1
org 1 31 30 10.5 10 173405 50.511 1.154 199849 199000 188835 2 1
equ 1 21 20 10.5 10 310831 90.542 1.102 342007 342000 326375 1 1
ore 1 41 40 11.3 11 94464 25.565 1.208 113970 113000 105697 2 1
org 1 31 30 11.3 11 187084 50.631 1.154 215614 215000 203881 2 1
equ 1 21 20 11.3 11 335101 90.69 1.102 368711 368000 351604 1 1
ore 1 41 40 12.5 12 104967 25.683 1.208 126642 126000 115614 1 1
org 1 31 30 12.5 12 207667 50.811 1.154 239336 239000 217466 0 1
